document_id,category,title,content,text
KB032,Account,Account Deactivation,"Customers who want to deactivate their account should review any active subscriptions, pending orders, or unresolved transactions before requesting deactivation. Support should verify the account before processing the request.","Account Deactivation. Customers who want to deactivate their account should review any active subscriptions, pending orders, or unresolved transactions before requesting deactivation. Support should verify the account before processing the request."
KB033,Account,Account Reactivation,A previously deactivated account may be eligible for reactivation depending on the account status and applicable policy. Customers should contact support with their registered account information for verification.,Account Reactivation. A previously deactivated account may be eligible for reactivation depending on the account status and applicable policy. Customers should contact support with their registered account information for verification.
KB034,Account,Suspicious Account Activity,Customers who notice suspicious activity should secure their account by changing the password and reviewing recent account activity. They should contact support immediately if unauthorized activity is suspected.,Suspicious Account Activity. Customers who notice suspicious activity should secure their account by changing the password and reviewing recent account activity. They should contact support immediately if unauthorized activity is suspected.
KB035,Account,Unauthorized Account Access,"If a customer believes that someone accessed the account without permission, support should treat the issue as a security-related request. The customer should secure the account and provide relevant activity details for investigation.","Unauthorized Account Access. If a customer believes that someone accessed the account without permission, support should treat the issue as a security-related request. The customer should secure the account and provide relevant activity details for investigation."
KB036,Cancellation,Order Cancellation,Customers who want to cancel an order should contact customer support as soon as possible and provide the order details. Cancellation eligibility depends on the current order status and processing stage.,Order Cancellation. Customers who want to cancel an order should contact customer support as soon as possible and provide the order details. Cancellation eligibility depends on the current order status and processing stage.
KB037,Cancellation,Cancellation Before Processing,Orders that have not entered the processing stage may generally be easier to cancel. Customers should submit cancellation requests as early as possible and provide the order number for verification.,Cancellation Before Processing. Orders that have not entered the processing stage may generally be easier to cancel. Customers should submit cancellation requests as early as possible and provide the order number for verification.
KB038,Cancellation,Cancellation After Processing,"Once an order has entered processing, cancellation may no longer be available. Support should verify the current order status before confirming whether cancellation can be completed.","Cancellation After Processing. Once an order has entered processing, cancellation may no longer be available. Support should verify the current order status before confirming whether cancellation can be completed."
KB039,Refund,Refund Eligibility,"Refund eligibility depends on the purchase type, order status, and applicable refund policy. Support should verify the transaction and review the relevant policy before confirming refund eligibility.","Refund Eligibility. Refund eligibility depends on the purchase type, order status, and applicable refund policy. Support should verify the transaction and review the relevant policy before confirming refund eligibility."
KB040,Refund,Refund Processing,"After a refund is approved, processing time may depend on the original payment method and financial institution. Customers should retain the refund reference information until the refund is completed.","Refund Processing. After a refund is approved, processing time may depend on the original payment method and financial institution. Customers should retain the refund reference information until the refund is completed."
KB041,Refund,Refund Not Received,"If an approved refund has not appeared in the customer's account, support should verify the refund status and reference number. The customer may also need to check with the original payment provider.","Refund Not Received. If an approved refund has not appeared in the customer's account, support should verify the refund status and reference number. The customer may also need to check with the original payment provider."
KB042,Refund,Partial Refund,A partial refund may be appropriate when only part of an order or service qualifies for reimbursement. Support should verify the eligible amount and explain the refund calculation to the customer.,Partial Refund. A partial refund may be appropriate when only part of an order or service qualifies for reimbursement. Support should verify the eligible amount and explain the refund calculation to the customer.
KB043,Refund,Refund Method,Refunds are generally processed through the original payment method when supported. Customers should provide the original transaction details so that support can verify the correct refund destination.,Refund Method. Refunds are generally processed through the original payment method when supported. Customers should provide the original transaction details so that support can verify the correct refund destination.
KB044,Cancellation,Cancellation Confirmation,"After a cancellation is successfully processed, the customer should receive or be provided with confirmation details. Customers should retain the cancellation reference until the transaction is fully settled.","Cancellation Confirmation. After a cancellation is successfully processed, the customer should receive or be provided with confirmation details. Customers should retain the cancellation reference until the transaction is fully settled."
KB045,Cancellation,Cancellation Request Escalation,"If a cancellation request cannot be completed through the standard process, support should review the current order state and escalate the request to the appropriate team when necessary.","Cancellation Request Escalation. If a cancellation request cannot be completed through the standard process, support should review the current order state and escalate the request to the appropriate team when necessary."
KB008,Delivery,Delayed Delivery,"If an order has not arrived within the expected delivery period, customers should check the available order tracking information. If the tracking information does not resolve the issue, the customer should contact customer support with the order details.","Delayed Delivery. If an order has not arrived within the expected delivery period, customers should check the available order tracking information. If the tracking information does not resolve the issue, the customer should contact customer support with the order details."
KB046,Delivery,Order Tracking,"Customers can use the available tracking information to monitor the status and movement of an order. If tracking information has not been updated for an extended period, support can review the order status.","Order Tracking. Customers can use the available tracking information to monitor the status and movement of an order. If tracking information has not been updated for an extended period, support can review the order status."
KB047,Delivery,Wrong Delivery Address,"Customers should verify the delivery address before submitting an order. If the address is incorrect after an order is placed, the customer should contact support immediately. Address changes may depend on whether the order has already been shipped.","Wrong Delivery Address. Customers should verify the delivery address before submitting an order. If the address is incorrect after an order is placed, the customer should contact support immediately. Address changes may depend on whether the order has already been shipped."
KB048,Delivery,Failed Delivery Attempt,"If a delivery attempt fails, customers should review the tracking information for the reason and available next steps. A new delivery attempt may depend on the carrier and current shipment status.","Failed Delivery Attempt. If a delivery attempt fails, customers should review the tracking information for the reason and available next steps. A new delivery attempt may depend on the carrier and current shipment status."
KB049,Delivery,Missing Package,"Customers who have not received a package marked as delivered should first check the delivery location and with other authorized recipients. If the package cannot be located, support should review the delivery records and escalate the issue when necessary.","Missing Package. Customers who have not received a package marked as delivered should first check the delivery location and with other authorized recipients. If the package cannot be located, support should review the delivery records and escalate the issue when necessary."
KB050,Delivery,Damaged Package,Customers who receive a damaged package should report the issue as soon as possible and provide the order details. Photographs or other evidence may be requested to help support investigate the delivery condition.,Damaged Package. Customers who receive a damaged package should report the issue as soon as possible and provide the order details. Photographs or other evidence may be requested to help support investigate the delivery condition.
KB051,Delivery,Wrong Item Delivered,"If a customer receives an item different from the one ordered, support should verify the order details and delivered product information. Replacement or return options depend on the applicable order policy.","Wrong Item Delivered. If a customer receives an item different from the one ordered, support should verify the order details and delivered product information. Replacement or return options depend on the applicable order policy."
KB052,Delivery,Missing Item From Order,"If an order contains fewer items than expected, customers should provide the order number and identify the missing item. Support should compare the order records with fulfillment information before deciding the appropriate resolution.","Missing Item From Order. If an order contains fewer items than expected, customers should provide the order number and identify the missing item. Support should compare the order records with fulfillment information before deciding the appropriate resolution."
KB053,Delivery,Delivery Time Estimate,"Delivery estimates are provided based on the order processing stage, shipping method, destination, and carrier conditions. Estimated delivery dates are not always guaranteed and may change due to unexpected delivery conditions.","Delivery Time Estimate. Delivery estimates are provided based on the order processing stage, shipping method, destination, and carrier conditions. Estimated delivery dates are not always guaranteed and may change due to unexpected delivery conditions."
KB054,Delivery,Shipping Method Change,Requests to change the shipping method should be submitted before the order is processed or shipped. Support should verify the current order status before confirming whether a shipping method change is possible.,Shipping Method Change. Requests to change the shipping method should be submitted before the order is processed or shipped. Support should verify the current order status before confirming whether a shipping method change is possible.
KB055,Delivery,Order Status Information,"Customers can check the current status of an order through the available order tracking or account interface. Common statuses may include processing, shipped, out for delivery, delivered, or cancelled.","Order Status Information. Customers can check the current status of an order through the available order tracking or account interface. Common statuses may include processing, shipped, out for delivery, delivered, or cancelled."
KB006,Product Support,Product Not Working,"If a purchased product is not working, the customer should first check the product setup and follow the basic troubleshooting instructions. If the problem continues, the customer should contact support with the product and purchase information.","Product Not Working. If a purchased product is not working, the customer should first check the product setup and follow the basic troubleshooting instructions. If the problem continues, the customer should contact support with the product and purchase information."
KB007,Product Support,Product Replacement,Customers requesting a product replacement should provide their order details and explain the problem with the product. The support team should verify the purchase and determine whether the replacement request is eligible according to the applicable support policy.,Product Replacement. Customers requesting a product replacement should provide their order details and explain the problem with the product. The support team should verify the purchase and determine whether the replacement request is eligible according to the applicable support policy.
KB056,Product Support,Product Setup Assistance,Customers who need help setting up a product should follow the official setup instructions and verify that all required components are available. Support can provide additional guidance when the standard setup process does not resolve the issue.,Product Setup Assistance. Customers who need help setting up a product should follow the official setup instructions and verify that all required components are available. Support can provide additional guidance when the standard setup process does not resolve the issue.
KB057,Product Support,Product Compatibility,"Before using a product with another device or service, customers should verify compatibility requirements. If compatibility information is unclear, support should review the product specifications and customer use case.","Product Compatibility. Before using a product with another device or service, customers should verify compatibility requirements. If compatibility information is unclear, support should review the product specifications and customer use case."
KB058,Product Support,Product Defect Report,"Customers who believe a product has a manufacturing or functional defect should provide the product details, purchase information, and a description of the observed problem. Support should determine the appropriate inspection, replacement, or repair process.","Product Defect Report. Customers who believe a product has a manufacturing or functional defect should provide the product details, purchase information, and a description of the observed problem. Support should determine the appropriate inspection, replacement, or repair process."
KB059,Product Support,Product Warranty,"Warranty support depends on the product, purchase date, warranty conditions, and nature of the reported issue. Customers should provide proof of purchase and product information when requesting warranty assistance.","Product Warranty. Warranty support depends on the product, purchase date, warranty conditions, and nature of the reported issue. Customers should provide proof of purchase and product information when requesting warranty assistance."
KB060,Product Support,Warranty Exclusion,"Warranty coverage may not apply to damage caused by misuse, unauthorized modification, accidental damage, or conditions excluded by the applicable warranty terms. Support should verify the warranty conditions before confirming coverage.","Warranty Exclusion. Warranty coverage may not apply to damage caused by misuse, unauthorized modification, accidental damage, or conditions excluded by the applicable warranty terms. Support should verify the warranty conditions before confirming coverage."
KB061,Product Support,Replacement Eligibility,"Product replacement eligibility depends on the purchase record, product condition, reported issue, and applicable replacement policy. Support should verify these conditions before approving a replacement.","Replacement Eligibility. Product replacement eligibility depends on the purchase record, product condition, reported issue, and applicable replacement policy. Support should verify these conditions before approving a replacement."
KB062,Product Support,Return Product for Inspection,Some product issues may require the item to be returned for inspection. Customers should follow the return instructions provided by support and should not send products to an unapproved address.,Return Product for Inspection. Some product issues may require the item to be returned for inspection. Customers should follow the return instructions provided by support and should not send products to an unapproved address.
KB063,Product Support,Product Maintenance,Customers should follow the recommended maintenance and usage instructions for their products. Proper maintenance can reduce avoidable failures and help preserve product performance.,Product Maintenance. Customers should follow the recommended maintenance and usage instructions for their products. Proper maintenance can reduce avoidable failures and help preserve product performance.
KB064,Product Support,Product Information Request,Customers requesting product specifications should provide the product name or model number. Support should provide information from approved product documentation and should avoid making unsupported technical claims.,Product Information Request. Customers requesting product specifications should provide the product name or model number. Support should provide information from approved product documentation and should avoid making unsupported technical claims.
KB065,Product Support,Product Availability,Product availability may change based on inventory and fulfillment conditions. Customers asking about availability should check the current product information or contact support for the latest availability details.,Product Availability. Product availability may change based on inventory and fulfillment conditions. Customers asking about availability should check the current product information or contact support for the latest availability details.
KB012,Technical Support,Technical Troubleshooting,"For technical problems, customers should first restart the affected service or device and verify the basic configuration. Customers should also check whether the issue continues after following the available troubleshooting steps. If the problem remains unresolved, customer support should be contacted.","Technical Troubleshooting. For technical problems, customers should first restart the affected service or device and verify the basic configuration. Customers should also check whether the issue continues after following the available troubleshooting steps. If the problem remains unresolved, customer support should be contacted."
KB066,Technical Support,Application Not Loading,"If an application does not load correctly, customers should check their internet connection and restart the application. They should also verify whether an updated version is available. Persistent problems should be reported to technical support with device and error details.","Application Not Loading. If an application does not load correctly, customers should check their internet connection and restart the application. They should also verify whether an updated version is available. Persistent problems should be reported to technical support with device and error details."
KB067,Technical Support,Slow Application Performance,"Customers experiencing slow application performance should restart the application and verify their network connection. They should provide the affected feature, approximate time of occurrence, and device information when reporting persistent performance issues.","Slow Application Performance. Customers experiencing slow application performance should restart the application and verify their network connection. They should provide the affected feature, approximate time of occurrence, and device information when reporting persistent performance issues."
KB068,Technical Support,Login Error,"Customers receiving a login error should verify their credentials and confirm that the account is active. If the problem continues, they should provide the exact error message and device information to technical support.","Login Error. Customers receiving a login error should verify their credentials and confirm that the account is active. If the problem continues, they should provide the exact error message and device information to technical support."
KB069,Technical Support,Application Error Message,"When an application displays an error message, customers should record the exact message and the action that caused it. Support can use this information to identify the affected service and determine the appropriate troubleshooting procedure.","Application Error Message. When an application displays an error message, customers should record the exact message and the action that caused it. Support can use this information to identify the affected service and determine the appropriate troubleshooting procedure."
KB070,Technical Support,Connectivity Problem,"For connectivity problems, customers should verify their internet connection and retry the affected operation. If other services work normally but the specific service remains unavailable, the issue should be reported to technical support.","Connectivity Problem. For connectivity problems, customers should verify their internet connection and retry the affected operation. If other services work normally but the specific service remains unavailable, the issue should be reported to technical support."
KB071,Technical Support,Service Outage,"If a service appears to be unavailable for multiple customers, technical support should check the service status before asking customers to repeat troubleshooting steps. Customers should be informed when a known outage is identified.","Service Outage. If a service appears to be unavailable for multiple customers, technical support should check the service status before asking customers to repeat troubleshooting steps. Customers should be informed when a known outage is identified."
KB072,Technical Support,Browser Troubleshooting,"For browser-related problems, customers can try refreshing the page, clearing temporary browser data, disabling conflicting extensions, or using a supported browser. Persistent issues should be reported with browser and operating system information.","Browser Troubleshooting. For browser-related problems, customers can try refreshing the page, clearing temporary browser data, disabling conflicting extensions, or using a supported browser. Persistent issues should be reported with browser and operating system information."
KB073,Technical Support,Mobile Application Issue,"Customers experiencing problems with a mobile application should restart the application and verify that the latest supported version is installed. If the issue continues, support should collect the device model, operating system version, and error details.","Mobile Application Issue. Customers experiencing problems with a mobile application should restart the application and verify that the latest supported version is installed. If the issue continues, support should collect the device model, operating system version, and error details."
KB074,Technical Support,Data Synchronization Problem,"If information does not synchronize correctly between supported devices or services, customers should verify their connection and refresh the affected application. Persistent synchronization problems should be reported with details about the affected data.","Data Synchronization Problem. If information does not synchronize correctly between supported devices or services, customers should verify their connection and refresh the affected application. Persistent synchronization problems should be reported with details about the affected data."
KB075,Technical Support,Technical Issue Escalation,"Technical issues that cannot be resolved using standard troubleshooting should be escalated to the appropriate technical team. The escalation should include the error message, affected feature, troubleshooting steps already attempted, and relevant technical information.","Technical Issue Escalation. Technical issues that cannot be resolved using standard troubleshooting should be escalated to the appropriate technical team. The escalation should include the error message, affected feature, troubleshooting steps already attempted, and relevant technical information."
KB076,Subscription,Subscription Information,"Customers can review their current subscription plan through the account interface when available. Subscription information may include the plan type, billing frequency, renewal status, and applicable features.","Subscription Information. Customers can review their current subscription plan through the account interface when available. Subscription information may include the plan type, billing frequency, renewal status, and applicable features."
KB077,Subscription,Plan Upgrade,Customers who want additional features or service capacity can request a plan upgrade through the available account options. The customer should review the updated pricing and plan conditions before confirming the upgrade.,Plan Upgrade. Customers who want additional features or service capacity can request a plan upgrade through the available account options. The customer should review the updated pricing and plan conditions before confirming the upgrade.
KB078,Subscription,Plan Downgrade,Customers requesting a plan downgrade should review which features or limits will change. The effective date of the downgrade may depend on the subscription billing cycle and applicable plan rules.,Plan Downgrade. Customers requesting a plan downgrade should review which features or limits will change. The effective date of the downgrade may depend on the subscription billing cycle and applicable plan rules.
KB079,Subscription,Subscription Renewal,Subscriptions may renew according to the selected billing cycle. Customers should review their renewal status and plan information before the renewal date if they do not want the subscription to continue.,Subscription Renewal. Subscriptions may renew according to the selected billing cycle. Customers should review their renewal status and plan information before the renewal date if they do not want the subscription to continue.
KB080,Subscription,Subscription Cancellation,Customers who want to cancel a subscription should use the available cancellation option or contact support. The customer should review the effective cancellation date and any remaining subscription benefits.,Subscription Cancellation. Customers who want to cancel a subscription should use the available cancellation option or contact support. The customer should review the effective cancellation date and any remaining subscription benefits.
KB081,Subscription,Subscription Reactivation,A cancelled subscription may be eligible for reactivation depending on its current status and applicable plan rules. Support should verify the subscription before confirming reactivation.,Subscription Reactivation. A cancelled subscription may be eligible for reactivation depending on its current status and applicable plan rules. Support should verify the subscription before confirming reactivation.
KB082,Subscription,Plan Feature Availability,"Different subscription plans may provide different features, limits, or service levels. Customers should check the current plan information before requesting a feature that may not be included in their plan.","Plan Feature Availability. Different subscription plans may provide different features, limits, or service levels. Customers should check the current plan information before requesting a feature that may not be included in their plan."
KB083,Subscription,Subscription Billing Issue,"Customers who are incorrectly charged for a subscription should provide the subscription information and transaction details. Support should verify the active plan, billing cycle, and payment history before resolving the issue.","Subscription Billing Issue. Customers who are incorrectly charged for a subscription should provide the subscription information and transaction details. Support should verify the active plan, billing cycle, and payment history before resolving the issue."
KB084,Subscription,Expired Subscription,"When a subscription expires, access to subscription-specific features may be restricted. Customers who want to continue using those features should review the available renewal or reactivation options.","Expired Subscription. When a subscription expires, access to subscription-specific features may be restricted. Customers who want to continue using those features should review the available renewal or reactivation options."
KB085,Subscription,Subscription Plan Comparison,"Customers comparing subscription plans should review pricing, features, usage limits, billing frequency, and applicable conditions. Support should provide information from the current approved plan documentation.","Subscription Plan Comparison. Customers comparing subscription plans should review pricing, features, usage limits, billing frequency, and applicable conditions. Support should provide information from the current approved plan documentation."
KB010,General Support,Support Escalation,"If a customer issue cannot be resolved through the standard support process, the issue can be escalated to the appropriate support team. The customer should provide the ticket number and relevant details so that the issue can be reviewed efficiently.","Support Escalation. If a customer issue cannot be resolved through the standard support process, the issue can be escalated to the appropriate support team. The customer should provide the ticket number and relevant details so that the issue can be reviewed efficiently."
KB011,General Support,Contact Customer Support,Customers should provide their customer or order information when contacting support. They should clearly describe the problem and include relevant transaction or product details when applicable. Providing complete information helps the support team investigate the issue efficiently.,Contact Customer Support. Customers should provide their customer or order information when contacting support. They should clearly describe the problem and include relevant transaction or product details when applicable. Providing complete information helps the support team investigate the issue efficiently.
KB086,General Support,Ticket Information Requirements,"Support tickets should contain a clear description of the customer's problem and relevant identifiers such as the order number, account information, or transaction reference when applicable. Complete information helps reduce unnecessary follow-up requests.","Ticket Information Requirements. Support tickets should contain a clear description of the customer's problem and relevant identifiers such as the order number, account information, or transaction reference when applicable. Complete information helps reduce unnecessary follow-up requests."
KB087,General Support,Ticket Priority,"Support ticket priority should be determined based on the impact, urgency, number of affected customers, and business importance of the issue. Critical service disruptions should receive higher priority than routine informational requests.","Ticket Priority. Support ticket priority should be determined based on the impact, urgency, number of affected customers, and business importance of the issue. Critical service disruptions should receive higher priority than routine informational requests."
KB088,General Support,Ticket Categorization,Each support ticket should be assigned to the most appropriate category based on the customer's primary issue. Accurate categorization helps route the ticket to the correct support team and improves reporting.,Ticket Categorization. Each support ticket should be assigned to the most appropriate category based on the customer's primary issue. Accurate categorization helps route the ticket to the correct support team and improves reporting.
KB089,General Support,Ticket Assignment,Tickets should be assigned to the team or agent responsible for the reported issue. Tickets requiring specialized knowledge should be transferred to the appropriate specialist rather than repeatedly handled by unrelated teams.,Ticket Assignment. Tickets should be assigned to the team or agent responsible for the reported issue. Tickets requiring specialized knowledge should be transferred to the appropriate specialist rather than repeatedly handled by unrelated teams.
KB090,General Support,Ticket Reopening,A resolved ticket may be reopened when the original issue remains unresolved or occurs again within the applicable support process. Support should review the previous ticket history before taking new action.,Ticket Reopening. A resolved ticket may be reopened when the original issue remains unresolved or occurs again within the applicable support process. Support should review the previous ticket history before taking new action.
KB091,General Support,Duplicate Ticket Handling,"When multiple tickets describe the same customer issue, support should identify the duplicate requests and consolidate the information when appropriate. The customer should be informed which ticket will be used for further communication.","Duplicate Ticket Handling. When multiple tickets describe the same customer issue, support should identify the duplicate requests and consolidate the information when appropriate. The customer should be informed which ticket will be used for further communication."
KB092,General Support,Customer Information Verification,Support agents should verify the customer's relevant account or order information before making account-specific changes. Verification should follow the approved support procedure and should not expose sensitive information unnecessarily.,Customer Information Verification. Support agents should verify the customer's relevant account or order information before making account-specific changes. Verification should follow the approved support procedure and should not expose sensitive information unnecessarily.
KB093,General Support,Escalation Information,"When escalating a ticket, the support agent should include the issue summary, relevant customer information, troubleshooting already performed, supporting evidence, and the reason for escalation. This helps the receiving team investigate efficiently.","Escalation Information. When escalating a ticket, the support agent should include the issue summary, relevant customer information, troubleshooting already performed, supporting evidence, and the reason for escalation. This helps the receiving team investigate efficiently."
KB094,Business Rules,Customer Data Privacy,Customer information should be handled according to applicable privacy and security requirements. Support agents should access only the information necessary to resolve the customer's request and should avoid sharing confidential information through unauthorized channels.,Customer Data Privacy. Customer information should be handled according to applicable privacy and security requirements. Support agents should access only the information necessary to resolve the customer's request and should avoid sharing confidential information through unauthorized channels.
KB095,Business Rules,Sensitive Information Handling,"Support agents should not request unnecessary passwords, authentication secrets, or complete payment credentials from customers. Sensitive information should be handled only through approved secure procedures.","Sensitive Information Handling. Support agents should not request unnecessary passwords, authentication secrets, or complete payment credentials from customers. Sensitive information should be handled only through approved secure procedures."
KB096,Business Rules,Policy Verification,"Before approving exceptions, refunds, cancellations, replacements, or other special requests, support should verify the applicable policy. Agents should not promise an exception before the request has been reviewed and approved.","Policy Verification. Before approving exceptions, refunds, cancellations, replacements, or other special requests, support should verify the applicable policy. Agents should not promise an exception before the request has been reviewed and approved."
KB097,Business Rules,Service Availability,"Service availability may depend on the customer's plan, account status, product configuration, geographic availability, and current system conditions. Support should verify the relevant service rules before confirming availability.","Service Availability. Service availability may depend on the customer's plan, account status, product configuration, geographic availability, and current system conditions. Support should verify the relevant service rules before confirming availability."
KB098,Business Rules,Exception Approval,Requests that fall outside standard policies should be submitted for appropriate approval when an exception process exists. Support agents should document the reason for the exception and the decision made by the authorized reviewer.,Exception Approval. Requests that fall outside standard policies should be submitted for appropriate approval when an exception process exists. Support agents should document the reason for the exception and the decision made by the authorized reviewer.
