Review,Actual,Predicted,Probability
0,Negative,Positive,0.5553615
0,Negative,Positive,0.55547804
0,Negative,Positive,0.5545398
0,Negative,Positive,0.5553848
0,Negative,Positive,0.55072206
0,Negative,Positive,0.5555525
0,Negative,Positive,0.5474388
0,Negative,Positive,0.55538565
0,Negative,Positive,0.5555004
0,Negative,Positive,0.5551857
0,Negative,Positive,0.55646056
0,Negative,Positive,0.55533755
0,Negative,Positive,0.55459535
0,Negative,Positive,0.5552776
0,Negative,Positive,0.55639327
0,Negative,Positive,0.55549634
0,Negative,Positive,0.55555725
0,Negative,Positive,0.5591892
0,Negative,Positive,0.55253834
0,Negative,Positive,0.5554442
0,Negative,Positive,0.55514
0,Negative,Positive,0.7633555
0,Negative,Positive,0.5558666
0,Negative,Positive,0.55530906
0,Negative,Positive,0.55698943
0,Negative,Positive,0.55545735
0,Negative,Positive,0.989426
0,Negative,Positive,0.5587053
1,Positive,Negative,0.45661792
0,Negative,Positive,0.55518234
0,Negative,Positive,0.555142
0,Negative,Positive,0.5556702
1,Positive,Negative,0.06057087
0,Negative,Positive,0.5554574
0,Negative,Positive,0.53844464
0,Negative,Positive,0.5499229
0,Negative,Positive,0.5546266
1,Positive,Negative,0.16799547
0,Negative,Positive,0.55551225
0,Negative,Positive,0.55532926
0,Negative,Positive,0.55539507
0,Negative,Positive,0.5536051
0,Negative,Positive,0.5539773
0,Negative,Positive,0.81234455
0,Negative,Positive,0.5557789
0,Negative,Positive,0.5552702
0,Negative,Positive,0.5606231
0,Negative,Positive,0.5455053
0,Negative,Positive,0.5543127
0,Negative,Positive,0.5554965
0,Negative,Positive,0.55558634
0,Negative,Positive,0.6369383
0,Negative,Positive,0.5554148
0,Negative,Positive,0.55559415
0,Negative,Positive,0.99768335
0,Negative,Positive,0.55550927
0,Negative,Positive,0.55547714
0,Negative,Positive,0.55504364
0,Negative,Positive,0.5552622
0,Negative,Positive,0.5554442
0,Negative,Positive,0.5473493
1,Positive,Negative,0.44880286
0,Negative,Positive,0.55532247
0,Negative,Positive,0.5554502
0,Negative,Positive,0.55536443
0,Negative,Positive,0.70574313
0,Negative,Positive,0.5257788
0,Negative,Positive,0.53422254
0,Negative,Positive,0.5552788
0,Negative,Positive,0.5046581
0,Negative,Positive,0.5554675
0,Negative,Positive,0.9990399
1,Positive,Negative,0.0096999025
0,Negative,Positive,0.99798185
0,Negative,Positive,0.55553
0,Negative,Positive,0.5615354
0,Negative,Positive,0.55574197
0,Negative,Positive,0.5431111
0,Negative,Positive,0.5553063
0,Negative,Positive,0.55442053
0,Negative,Positive,0.5657486
0,Negative,Positive,0.57285714
0,Negative,Positive,0.57376915
0,Negative,Positive,0.55590755
0,Negative,Positive,0.55554277
0,Negative,Positive,0.55594575
0,Negative,Positive,0.55528
0,Negative,Positive,0.5561446
0,Negative,Positive,0.55621284
0,Negative,Positive,0.55408543
1,Positive,Negative,0.09190196
0,Negative,Positive,0.5554141
0,Negative,Positive,0.55383694
0,Negative,Positive,0.555427
0,Negative,Positive,0.5561655
0,Negative,Positive,0.5554185
0,Negative,Positive,0.555281
0,Negative,Positive,0.55577934
0,Negative,Positive,0.5554756
0,Negative,Positive,0.555429
0,Negative,Positive,0.973955
0,Negative,Positive,0.5554929
0,Negative,Positive,0.55512726
0,Negative,Positive,0.55538213
0,Negative,Positive,0.5570728
0,Negative,Positive,0.5563188
0,Negative,Positive,0.55221915
0,Negative,Positive,0.5554448
0,Negative,Positive,0.55540764
0,Negative,Positive,0.55588555
0,Negative,Positive,0.55497444
0,Negative,Positive,0.5553022
0,Negative,Positive,0.55583256
0,Negative,Positive,0.5551254
0,Negative,Positive,0.5554543
0,Negative,Positive,0.5554199
0,Negative,Positive,0.6150671
1,Positive,Negative,0.04236142
0,Negative,Positive,0.5554561
0,Negative,Positive,0.55567306
0,Negative,Positive,0.5552584
0,Negative,Positive,0.5533386
0,Negative,Positive,0.5567488
0,Negative,Positive,0.55611795
0,Negative,Positive,0.5542288
0,Negative,Positive,0.5552887
0,Negative,Positive,0.55739474
1,Positive,Negative,0.28598797
0,Negative,Positive,0.5553467
0,Negative,Positive,0.55529696
0,Negative,Positive,0.55650294
0,Negative,Positive,0.55552244
0,Negative,Positive,0.9907642
0,Negative,Positive,0.5554408
0,Negative,Positive,0.8957975
0,Negative,Positive,0.9988482
0,Negative,Positive,0.63562447
0,Negative,Positive,0.555222
0,Negative,Positive,0.96482676
0,Negative,Positive,0.9279626
0,Negative,Positive,0.5550442
0,Negative,Positive,0.55326635
0,Negative,Positive,0.5553845
0,Negative,Positive,0.555346
0,Negative,Positive,0.5555573
0,Negative,Positive,0.5555603
0,Negative,Positive,0.5554235
0,Negative,Positive,0.55035734
0,Negative,Positive,0.5554193
0,Negative,Positive,0.55621195
0,Negative,Positive,0.5629127
0,Negative,Positive,0.5555848
0,Negative,Positive,0.5570868
0,Negative,Positive,0.55538327
0,Negative,Positive,0.55541193
0,Negative,Positive,0.54736906
0,Negative,Positive,0.55580705
0,Negative,Positive,0.5553904
0,Negative,Positive,0.5555689
1,Positive,Negative,0.47078463
0,Negative,Positive,0.5553563
0,Negative,Positive,0.55538005
0,Negative,Positive,0.5550612
0,Negative,Positive,0.5553917
0,Negative,Positive,0.55655265
0,Negative,Positive,0.5551237
0,Negative,Positive,0.57627654
0,Negative,Positive,0.55580086
0,Negative,Positive,0.9960811
0,Negative,Positive,0.5554173
0,Negative,Positive,0.55542636
0,Negative,Positive,0.555375
0,Negative,Positive,0.5552749
0,Negative,Positive,0.5579383
0,Negative,Positive,0.5548462
0,Negative,Positive,0.55512303
0,Negative,Positive,0.5554214
0,Negative,Positive,0.5554136
0,Negative,Positive,0.5551778
0,Negative,Positive,0.55531394
0,Negative,Positive,0.5267937
0,Negative,Positive,0.5554277
0,Negative,Positive,0.57528853
0,Negative,Positive,0.5524387
0,Negative,Positive,0.5563669
0,Negative,Positive,0.5554271
0,Negative,Positive,0.7036328
0,Negative,Positive,0.55856204
0,Negative,Positive,0.5554406
0,Negative,Positive,0.5577092
0,Negative,Positive,0.5559964
0,Negative,Positive,0.5572211
0,Negative,Positive,0.5554099
0,Negative,Positive,0.5556593
1,Positive,Negative,0.21496776
0,Negative,Positive,0.98145247
0,Negative,Positive,0.9539327
0,Negative,Positive,0.5554211
0,Negative,Positive,0.9242659
0,Negative,Positive,0.5557871
0,Negative,Positive,0.55538666
0,Negative,Positive,0.555312
0,Negative,Positive,0.5559431
0,Negative,Positive,0.55737025
0,Negative,Positive,0.5554111
0,Negative,Positive,0.5560395
0,Negative,Positive,0.56283015
0,Negative,Positive,0.55540514
0,Negative,Positive,0.5556165
0,Negative,Positive,0.5551871
0,Negative,Positive,0.55540544
1,Positive,Negative,0.07515685
0,Negative,Positive,0.99909496
0,Negative,Positive,0.5737903
0,Negative,Positive,0.55509794
0,Negative,Positive,0.74687093
0,Negative,Positive,0.5583938
0,Negative,Positive,0.55556446
0,Negative,Positive,0.5555156
1,Positive,Negative,0.16626008
0,Negative,Positive,0.55565673
0,Negative,Positive,0.5553919
0,Negative,Positive,0.5554687
0,Negative,Positive,0.58566654
0,Negative,Positive,0.55509853
0,Negative,Positive,0.5553243
0,Negative,Positive,0.5555145
0,Negative,Positive,0.55326724
0,Negative,Positive,0.5696037
0,Negative,Positive,0.55561215
0,Negative,Positive,0.5565138
0,Negative,Positive,0.9275809
0,Negative,Positive,0.55698234
0,Negative,Positive,0.555945
0,Negative,Positive,0.5561297
0,Negative,Positive,0.5077139
0,Negative,Positive,0.55552334
1,Positive,Negative,0.0016982447
0,Negative,Positive,0.5556369
1,Positive,Negative,0.20223287
0,Negative,Positive,0.5555742
0,Negative,Positive,0.55529284
1,Positive,Negative,0.07939271
0,Negative,Positive,0.5552096
0,Negative,Positive,0.5556314
0,Negative,Positive,0.555341
0,Negative,Positive,0.5571973
0,Negative,Positive,0.55428123
0,Negative,Positive,0.55240417
1,Positive,Negative,0.04161086
0,Negative,Positive,0.5445251
0,Negative,Positive,0.55580837
0,Negative,Positive,0.5555019
0,Negative,Positive,0.56340307
0,Negative,Positive,0.58846706
0,Negative,Positive,0.5801595
0,Negative,Positive,0.5573103
0,Negative,Positive,0.55890113
0,Negative,Positive,0.5553963
1,Positive,Negative,0.0021325124
0,Negative,Positive,0.55563337
0,Negative,Positive,0.5541472
0,Negative,Positive,0.55593383
0,Negative,Positive,0.5548198
0,Negative,Positive,0.55520445
0,Negative,Positive,0.5552106
0,Negative,Positive,0.55541825
0,Negative,Positive,0.5554431
1,Positive,Negative,0.0017123164
0,Negative,Positive,0.9778294
1,Positive,Negative,0.0004678658
0,Negative,Positive,0.55474436
0,Negative,Positive,0.5564743
0,Negative,Positive,0.5554431
0,Negative,Positive,0.55483955
1,Positive,Negative,0.0025426615
0,Negative,Positive,0.5555236
0,Negative,Positive,0.5349711
0,Negative,Positive,0.5554488
0,Negative,Positive,0.55541617
0,Negative,Positive,0.5647413
0,Negative,Positive,0.55565166
0,Negative,Positive,0.5692464
0,Negative,Positive,0.5553953
0,Negative,Positive,0.5557327
0,Negative,Positive,0.5557209
0,Negative,Positive,0.5553033
0,Negative,Positive,0.6928596
0,Negative,Positive,0.56946665
0,Negative,Positive,0.5523339
0,Negative,Positive,0.99987465
0,Negative,Positive,0.54804254
0,Negative,Positive,0.55542725
0,Negative,Positive,0.5560509
0,Negative,Positive,0.5537733
0,Negative,Positive,0.55532867
0,Negative,Positive,0.555108
0,Negative,Positive,0.55524987
0,Negative,Positive,0.55541164
0,Negative,Positive,0.5552161
0,Negative,Positive,0.5554889
0,Negative,Positive,0.5553959
0,Negative,Positive,0.5453094
0,Negative,Positive,0.57250684
0,Negative,Positive,0.55502385
1,Positive,Negative,0.045003142
0,Negative,Positive,0.51810634
0,Negative,Positive,0.5555031
0,Negative,Positive,0.5552219
0,Negative,Positive,0.5475003
0,Negative,Positive,0.5555463
0,Negative,Positive,0.5554039
0,Negative,Positive,0.5594589
0,Negative,Positive,0.55644137
0,Negative,Positive,0.591389
0,Negative,Positive,0.5550792
0,Negative,Positive,0.55552095
1,Positive,Negative,0.0027845937
0,Negative,Positive,0.55607
0,Negative,Positive,0.9631311
0,Negative,Positive,0.553926
0,Negative,Positive,0.5553805
0,Negative,Positive,0.55535746
0,Negative,Positive,0.5587247
1,Positive,Negative,0.11790319
0,Negative,Positive,0.5945057
0,Negative,Positive,0.5554091
0,Negative,Positive,0.5552751
0,Negative,Positive,0.5550763
0,Negative,Positive,0.9949658
0,Negative,Positive,0.63966966
0,Negative,Positive,0.55532765
0,Negative,Positive,0.5553853
0,Negative,Positive,0.5418723
0,Negative,Positive,0.55702853
0,Negative,Positive,0.55301595
0,Negative,Positive,0.552811
0,Negative,Positive,0.5580687
0,Negative,Positive,0.5559643
0,Negative,Positive,0.5557909
0,Negative,Positive,0.5550842
0,Negative,Positive,0.998718
0,Negative,Positive,0.55573505
0,Negative,Positive,0.5554186
0,Negative,Positive,0.55639297
0,Negative,Positive,0.55552214
0,Negative,Positive,0.55577445
0,Negative,Positive,0.5554217
0,Negative,Positive,0.5549791
1,Positive,Negative,0.41097596
0,Negative,Positive,0.5555098
0,Negative,Positive,0.5560706
0,Negative,Positive,0.55525374
0,Negative,Positive,0.55532086
0,Negative,Positive,0.556084
0,Negative,Positive,0.55566543
0,Negative,Positive,0.5553724
0,Negative,Positive,0.55529493
1,Positive,Negative,0.36187515
0,Negative,Positive,0.5552475
1,Positive,Negative,0.057955123
0,Negative,Positive,0.53963184
0,Negative,Positive,0.55526674
0,Negative,Positive,0.5128838
1,Positive,Negative,0.4786782
0,Negative,Positive,0.5554426
0,Negative,Positive,0.5541787
1,Positive,Negative,0.25173873
1,Positive,Negative,0.100987345
0,Negative,Positive,0.87122196
0,Negative,Positive,0.5555749
0,Negative,Positive,0.5560218
0,Negative,Positive,0.55549926
0,Negative,Positive,0.5554134
0,Negative,Positive,0.55512166
0,Negative,Positive,0.55522484
0,Negative,Positive,0.5543803
1,Positive,Negative,0.46290046
0,Negative,Positive,0.5554047
0,Negative,Positive,0.5551925
0,Negative,Positive,0.9980965
0,Negative,Positive,0.5553215
0,Negative,Positive,0.5552577
0,Negative,Positive,0.5506459
0,Negative,Positive,0.5552455
0,Negative,Positive,0.99938285
0,Negative,Positive,0.55526733
0,Negative,Positive,0.9997599
0,Negative,Positive,0.5556445
0,Negative,Positive,0.55539817
0,Negative,Positive,0.55529046
0,Negative,Positive,0.5537299
0,Negative,Positive,0.55526733
0,Negative,Positive,0.55534375
0,Negative,Positive,0.5554475
0,Negative,Positive,0.6296346
0,Negative,Positive,0.55050516
0,Negative,Positive,0.5472714
0,Negative,Positive,0.55349547
0,Negative,Positive,0.55516785
0,Negative,Positive,0.5551295
0,Negative,Positive,0.5554809
0,Negative,Positive,0.5620692
0,Negative,Positive,0.5795173
0,Negative,Positive,0.5553201
0,Negative,Positive,0.55540544
0,Negative,Positive,0.55784345
0,Negative,Positive,0.5554266
0,Negative,Positive,0.55540365
0,Negative,Positive,0.51853824
0,Negative,Positive,0.555409
0,Negative,Positive,0.55529463
0,Negative,Positive,0.55467165
0,Negative,Positive,0.555381
0,Negative,Positive,0.9998917
0,Negative,Positive,0.55535966
1,Positive,Negative,0.42647898
0,Negative,Positive,0.5554277
0,Negative,Positive,0.55551594
0,Negative,Positive,0.55772996
0,Negative,Positive,0.9484461
0,Negative,Positive,0.5554738
0,Negative,Positive,0.5870218
0,Negative,Positive,0.55526876
0,Negative,Positive,0.5554974
0,Negative,Positive,0.5554224
0,Negative,Positive,0.54703885
0,Negative,Positive,0.55520195
0,Negative,Positive,0.9604047
0,Negative,Positive,0.5553353
0,Negative,Positive,0.55558443
0,Negative,Positive,0.5554702
0,Negative,Positive,0.55829054
0,Negative,Positive,0.55538946
0,Negative,Positive,0.55571747
0,Negative,Positive,0.5554296
0,Negative,Positive,0.554984
0,Negative,Positive,0.55538523
0,Negative,Positive,0.5553706
0,Negative,Positive,0.5551376
1,Positive,Negative,0.3520947
0,Negative,Positive,0.5732433
0,Negative,Positive,0.5555333
0,Negative,Positive,0.5550646
0,Negative,Positive,0.555364
0,Negative,Positive,0.5555976
0,Negative,Positive,0.555945
0,Negative,Positive,0.5554668
0,Negative,Positive,0.5553433
0,Negative,Positive,0.5728426
0,Negative,Positive,0.5559014
0,Negative,Positive,0.55456245
0,Negative,Positive,0.5580576
0,Negative,Positive,0.64040476
0,Negative,Positive,0.5555867
1,Positive,Negative,0.33428192
0,Negative,Positive,0.84227586
0,Negative,Positive,0.55507565
0,Negative,Positive,0.5547669
0,Negative,Positive,0.5554426
0,Negative,Positive,0.5553351
0,Negative,Positive,0.5533888
0,Negative,Positive,0.55537635
0,Negative,Positive,0.55563843
0,Negative,Positive,0.5551914
0,Negative,Positive,0.55531937
0,Negative,Positive,0.55542386
0,Negative,Positive,0.5554066
0,Negative,Positive,0.5554705
0,Negative,Positive,0.5554197
0,Negative,Positive,0.5950163
0,Negative,Positive,0.5554506
0,Negative,Positive,0.9987733
0,Negative,Positive,0.5553673
0,Negative,Positive,0.5553523
0,Negative,Positive,0.95281833
1,Positive,Negative,0.12804008
1,Positive,Negative,0.027421147
0,Negative,Positive,0.5551697
0,Negative,Positive,0.5552823
0,Negative,Positive,0.55540264
0,Negative,Positive,0.55231327
0,Negative,Positive,0.5353637
0,Negative,Positive,0.8693712
0,Negative,Positive,0.5554344
0,Negative,Positive,0.555619
0,Negative,Positive,0.5554141
0,Negative,Positive,0.5553365
0,Negative,Positive,0.555399
0,Negative,Positive,0.5589063
0,Negative,Positive,0.5552353
0,Negative,Positive,0.55446607
0,Negative,Positive,0.55497575
0,Negative,Positive,0.55551404
0,Negative,Positive,0.6524986
0,Negative,Positive,0.55524635
0,Negative,Positive,0.5549722
0,Negative,Positive,0.5461512
0,Negative,Positive,0.5503762
0,Negative,Positive,0.5434912
0,Negative,Positive,0.55547714
0,Negative,Positive,0.55544525
0,Negative,Positive,0.5540052
1,Positive,Negative,0.29746866
0,Negative,Positive,0.55541635
1,Positive,Negative,0.44811764
0,Negative,Positive,0.55540293
0,Negative,Positive,0.55540264
0,Negative,Positive,0.5610069
0,Negative,Positive,0.55533415
0,Negative,Positive,0.55532885
0,Negative,Positive,0.55520624
1,Positive,Negative,0.35850134
0,Negative,Positive,0.55576915
0,Negative,Positive,0.55541337
0,Negative,Positive,0.5451684
0,Negative,Positive,0.55548763
0,Negative,Positive,0.54520446
0,Negative,Positive,0.55544275
0,Negative,Positive,0.5555546
0,Negative,Positive,0.55586517
0,Negative,Positive,0.55544746
0,Negative,Positive,0.5450344
0,Negative,Positive,0.55540407
0,Negative,Positive,0.555351
1,Positive,Negative,0.45333868
0,Negative,Positive,0.55644333
0,Negative,Positive,0.5556233
0,Negative,Positive,0.55549014
0,Negative,Positive,0.5554023
0,Negative,Positive,0.55537486
0,Negative,Positive,0.5702078
0,Negative,Positive,0.578119
0,Negative,Positive,0.5614376
0,Negative,Positive,0.54737604
0,Negative,Positive,0.9991062
0,Negative,Positive,0.5554269
0,Negative,Positive,0.55540156
0,Negative,Positive,0.554923
1,Positive,Negative,0.0011273097
0,Negative,Positive,0.5551073
0,Negative,Positive,0.555145
0,Negative,Positive,0.55542064
0,Negative,Positive,0.5550259
0,Negative,Positive,0.5553825
0,Negative,Positive,0.5553178
0,Negative,Positive,0.5555543
0,Negative,Positive,0.9977194
1,Positive,Negative,0.3249196
0,Negative,Positive,0.55560035
0,Negative,Positive,0.5562547
0,Negative,Positive,0.5554369
0,Negative,Positive,0.5557276
0,Negative,Positive,0.5540044
0,Negative,Positive,0.56041014
0,Negative,Positive,0.55568504
0,Negative,Positive,0.75863284
0,Negative,Positive,0.5554321
0,Negative,Positive,0.5555273
0,Negative,Positive,0.5553784
0,Negative,Positive,0.5496196
0,Negative,Positive,0.5484563
0,Negative,Positive,0.55553806
0,Negative,Positive,0.55543756
1,Positive,Negative,0.04334873
0,Negative,Positive,0.5573039
0,Negative,Positive,0.55539757
0,Negative,Positive,0.555637
0,Negative,Positive,0.5555151
0,Negative,Positive,0.5555862
0,Negative,Positive,0.5553068
0,Negative,Positive,0.5642061
0,Negative,Positive,0.5553094
0,Negative,Positive,0.5553862
0,Negative,Positive,0.5555475
0,Negative,Positive,0.551437
0,Negative,Positive,0.5374334
0,Negative,Positive,0.9586927
0,Negative,Positive,0.55534065
0,Negative,Positive,0.55585164
0,Negative,Positive,0.5554003
0,Negative,Positive,0.55586433
0,Negative,Positive,0.55582637
0,Negative,Positive,0.55540204
0,Negative,Positive,0.5586311
0,Negative,Positive,0.5552478
1,Positive,Negative,0.0004014742
0,Negative,Positive,0.5553048
0,Negative,Positive,0.530483
0,Negative,Positive,0.5558453
0,Negative,Positive,0.55564684
0,Negative,Positive,0.55623525
0,Negative,Positive,0.55258894
0,Negative,Positive,0.5554203
0,Negative,Positive,0.55506057
0,Negative,Positive,0.56733805
0,Negative,Positive,0.5448558
0,Negative,Positive,0.5557628
1,Positive,Negative,0.098777324
0,Negative,Positive,0.55538845
0,Negative,Positive,0.5552912
0,Negative,Positive,0.6915349
0,Negative,Positive,0.55534357
0,Negative,Positive,0.59136796
1,Positive,Negative,0.11332122
0,Negative,Positive,0.54436344
0,Negative,Positive,0.5553158
0,Negative,Positive,0.5552907
0,Negative,Positive,0.55530375
0,Negative,Positive,0.5552125
0,Negative,Positive,0.99940944
0,Negative,Positive,0.55539054
0,Negative,Positive,0.5554066
0,Negative,Positive,0.5554019
0,Negative,Positive,0.55557334
0,Negative,Positive,0.5546772
0,Negative,Positive,0.55551106
0,Negative,Positive,0.55542743
0,Negative,Positive,0.5548631
0,Negative,Positive,0.5554536
1,Positive,Negative,0.46118978
0,Negative,Positive,0.55536765
0,Negative,Positive,0.55593157
0,Negative,Positive,0.55454093
0,Negative,Positive,0.8102827
0,Negative,Positive,0.55541635
0,Negative,Positive,0.55616015
0,Negative,Positive,0.97411394
0,Negative,Positive,0.5550756
0,Negative,Positive,0.5553641
0,Negative,Positive,0.5553003
0,Negative,Positive,0.5460833
0,Negative,Positive,0.5554475
0,Negative,Positive,0.55542237
0,Negative,Positive,0.55537766
0,Negative,Positive,0.5555846
0,Negative,Positive,0.51313823
0,Negative,Positive,0.5554058
0,Negative,Positive,0.5552424
0,Negative,Positive,0.5553935
1,Positive,Negative,0.4943668
0,Negative,Positive,0.5554233
0,Negative,Positive,0.5554105
0,Negative,Positive,0.55544394
0,Negative,Positive,0.5271908
0,Negative,Positive,0.55549115
0,Negative,Positive,0.97422385
0,Negative,Positive,0.5552943
0,Negative,Positive,0.5552425
0,Negative,Positive,0.5554494
0,Negative,Positive,0.97880363
0,Negative,Positive,0.5572039
0,Negative,Positive,0.55759573
0,Negative,Positive,0.5553207
0,Negative,Positive,0.55618787
0,Negative,Positive,0.5559356
0,Negative,Positive,0.5554324
0,Negative,Positive,0.55556583
0,Negative,Positive,0.54370177
0,Negative,Positive,0.55542433
0,Negative,Positive,0.55551285
0,Negative,Positive,0.5553811
0,Negative,Positive,0.55516934
0,Negative,Positive,0.55267346
0,Negative,Positive,0.9967671
0,Negative,Positive,0.55515414
0,Negative,Positive,0.55586326
0,Negative,Positive,0.5822753
0,Negative,Positive,0.5565076
0,Negative,Positive,0.5555038
0,Negative,Positive,0.5488539
1,Positive,Negative,0.4338739
0,Negative,Positive,0.55532676
0,Negative,Positive,0.55533093
0,Negative,Positive,0.55494785
0,Negative,Positive,0.5554029
0,Negative,Positive,0.555387
0,Negative,Positive,0.95951813
0,Negative,Positive,0.5551005
0,Negative,Positive,0.5556313
0,Negative,Positive,0.5583297
0,Negative,Positive,0.55551225
0,Negative,Positive,0.9982083
0,Negative,Positive,0.55875224
0,Negative,Positive,0.554856
0,Negative,Positive,0.5579348
0,Negative,Positive,0.555445
0,Negative,Positive,0.55536765
0,Negative,Positive,0.5552242
0,Negative,Positive,0.54458034
0,Negative,Positive,0.55555826
0,Negative,Positive,0.5553628
0,Negative,Positive,0.55607814
0,Negative,Positive,0.5553802
0,Negative,Positive,0.5551638
0,Negative,Positive,0.5561903
0,Negative,Positive,0.55573255
0,Negative,Positive,0.5554528
1,Positive,Negative,0.09412975
0,Negative,Positive,0.60797095
1,Positive,Negative,0.025852833
0,Negative,Positive,0.5554442
0,Negative,Positive,0.55478257
0,Negative,Positive,0.5554004
0,Negative,Positive,0.555294
0,Negative,Positive,0.55544513
0,Negative,Positive,0.55556643
0,Negative,Positive,0.5557222
0,Negative,Positive,0.9269453
0,Negative,Positive,0.5581822
0,Negative,Positive,0.5548581
0,Negative,Positive,0.555317
0,Negative,Positive,0.55530065
0,Negative,Positive,0.55650175
0,Negative,Positive,0.55527985
0,Negative,Positive,0.5617355
0,Negative,Positive,0.55533206
0,Negative,Positive,0.55423635
0,Negative,Positive,0.5549463
0,Negative,Positive,0.5553048
0,Negative,Positive,0.5905834
1,Positive,Negative,0.49097452
0,Negative,Positive,0.55563855
0,Negative,Positive,0.5558032
0,Negative,Positive,0.5554106
0,Negative,Positive,0.5554399
0,Negative,Positive,0.5555932
0,Negative,Positive,0.55539125
0,Negative,Positive,0.55547965
0,Negative,Positive,0.72375566
0,Negative,Positive,0.5573619
1,Positive,Negative,0.012320591
0,Negative,Positive,0.55490863
0,Negative,Positive,0.55542445
1,Positive,Negative,0.008634114
0,Negative,Positive,0.55536515
0,Negative,Positive,0.549494
0,Negative,Positive,0.55537844
1,Positive,Negative,0.17927937
0,Negative,Positive,0.5555533
0,Negative,Positive,0.5553441
0,Negative,Positive,0.5594115
0,Negative,Positive,0.5570167
1,Positive,Negative,0.13384132
0,Negative,Positive,0.5553579
